datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),wind_speed (m/s),mean_sea_level_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
1991-12-28,"(34.0544, -118.2439)",era5,229.44,-8.00,11.89,8.31,0.80,2.92,101298.36,0.73,0.00
1991-12-29,"(34.0544, -118.2439)",era5,229.44,-8.00,10.47,8.15,0.86,3.42,101269.71,0.94,0.00
1991-12-30,"(34.0544, -118.2439)",era5,229.44,-8.00,11.51,9.09,0.86,1.82,101353.51,0.60,0.00
1991-12-31,"(34.0544, -118.2439)",era5,229.44,-8.00,10.82,6.40,0.77,1.31,101983.70,0.00,0.00
1992-01-01,"(34.0544, -118.2439)",era5,229.44,-8.00,10.87,4.50,0.66,2.26,101872.83,0.00,0.00
1992-01-02,"(34.0544, -118.2439)",era5,229.44,-8.00,12.17,4.22,0.60,3.08,101549.96,0.00,0.00
1992-01-03,"(34.0544, -118.2439)",era5,229.44,-8.00,11.54,6.75,0.73,2.44,101026.05,0.34,0.00
1992-01-04,"(34.0544, -118.2439)",era5,229.44,-8.00,10.96,7.86,0.82,1.63,101137.57,0.00,0.00
1992-01-05,"(34.0544, -118.2439)",era5,229.44,-8.00,12.22,9.67,0.85,2.93,100841.31,1.25,0.00
1992-01-06,"(34.0544, -118.2439)",era5,229.44,-8.00,9.21,6.42,0.84,1.71,100872.21,0.26,0.00
1992-01-07,"(34.0544, -118.2439)",era5,229.44,-8.00,9.15,6.17,0.82,1.56,101362.11,0.24,0.00
1992-01-08,"(34.0544, -118.2439)",era5,229.44,-8.00,8.83,3.82,0.74,2.64,101477.59,0.08,0.00
1992-01-09,"(34.0544, -118.2439)",era5,229.44,-8.00,9.79,1.88,0.61,2.54,101854.79,0.00,0.00
1992-01-10,"(34.0544, -118.2439)",era5,229.44,-8.00,10.82,2.39,0.58,2.68,101584.76,0.00,0.00
1992-01-11,"(34.0544, -118.2439)",era5,229.44,-8.00,11.79,4.87,0.64,1.98,101047.76,0.00,0.00
1992-01-12,"(34.0544, -118.2439)",era5,229.44,-8.00,9.89,1.87,0.61,2.19,101275.41,0.00,0.00
1992-01-13,"(34.0544, -118.2439)",era5,229.44,-8.00,9.13,0.66,0.58,1.63,102078.65,0.00,0.00
1992-01-14,"(34.0544, -118.2439)",era5,229.44,-8.00,9.15,2.22,0.64,1.49,101987.35,0.00,0.00
1992-01-15,"(34.0544, -118.2439)",era5,229.44,-8.00,11.17,2.78,0.59,2.47,101973.37,0.00,0.00
1992-01-16,"(34.0544, -118.2439)",era5,229.44,-8.00,10.56,1.87,0.58,2.27,102146.74,0.00,0.00
1992-01-17,"(34.0544, -118.2439)",era5,229.44,-8.00,10.80,3.74,0.63,1.85,101160.46,0.00,0.00
1992-01-18,"(34.0544, -118.2439)",era5,229.44,-8.00,10.78,4.65,0.68,1.67,100964.57,0.00,0.00
1992-01-19,"(34.0544, -118.2439)",era5,229.44,-8.00,11.74,2.29,0.55,2.28,101547.55,0.00,0.00
1992-01-20,"(34.0544, -118.2439)",era5,229.44,-8.00,11.42,1.00,0.52,1.98,101760.94,0.00,0.00
1992-01-21,"(34.0544, -118.2439)",era5,229.44,-8.00,10.84,3.43,0.61,1.64,101948.97,0.00,0.00
1992-01-22,"(34.0544, -118.2439)",era5,229.44,-8.00,10.95,4.80,0.68,1.34,102092.86,0.00,0.00
1992-01-23,"(34.0544, -118.2439)",era5,229.44,-8.00,11.57,3.73,0.63,1.73,102136.21,0.00,0.00
1992-01-24,"(34.0544, -118.2439)",era5,229.44,-8.00,13.02,2.18,0.51,1.83,101946.40,0.00,0.00
1992-01-25,"(34.0544, -118.2439)",era5,229.44,-8.00,12.98,3.27,0.53,1.59,101649.73,0.00,0.00
1992-01-26,"(34.0544, -118.2439)",era5,229.44,-8.00,11.39,4.67,0.64,1.48,101401.88,0.00,0.00
1992-01-27,"(34.0544, -118.2439)",era5,229.44,-8.00,12.42,6.24,0.69,1.25,101750.71,0.00,0.00
1992-01-28,"(34.0544, -118.2439)",era5,229.44,-8.00,11.62,5.37,0.68,1.28,101900.00,0.00,0.00
1992-01-29,"(34.0544, -118.2439)",era5,229.44,-8.00,14.15,2.88,0.52,2.55,101656.16,0.00,0.00
1992-01-30,"(34.0544, -118.2439)",era5,229.44,-8.00,14.99,1.02,0.42,1.92,101817.33,0.00,0.00
1992-01-31,"(34.0544, -118.2439)",era5,229.44,-8.00,14.87,0.83,0.42,1.91,101739.50,0.00,0.00
1992-02-01,"(34.0544, -118.2439)",era5,229.44,-8.00,13.88,4.43,0.54,1.66,101357.15,0.00,0.00
1992-02-02,"(34.0544, -118.2439)",era5,229.44,-8.00,13.77,5.80,0.62,1.99,101268.21,0.00,0.00
1992-02-03,"(34.0544, -118.2439)",era5,229.44,-8.00,14.98,-0.85,0.40,2.85,101165.95,0.00,0.00
1992-02-04,"(34.0544, -118.2439)",era5,229.44,-8.00,14.82,-5.52,0.27,2.18,101310.84,0.00,0.00
1992-02-05,"(34.0544, -118.2439)",era5,229.44,-8.00,13.70,0.56,0.42,1.84,101343.88,0.00,0.00
1992-02-06,"(34.0544, -118.2439)",era5,229.44,-8.00,13.93,9.70,0.76,3.04,100918.64,0.58,0.00
1992-02-07,"(34.0544, -118.2439)",era5,229.44,-8.00,13.35,11.26,0.87,2.50,100572.35,0.83,0.00
1992-02-08,"(34.0544, -118.2439)",era5,229.44,-8.00,13.27,10.21,0.82,0.93,101344.18,0.06,0.00
1992-02-09,"(34.0544, -118.2439)",era5,229.44,-8.00,12.47,9.03,0.80,2.23,101290.59,0.03,0.00
1992-02-10,"(34.0544, -118.2439)",era5,229.44,-8.00,12.63,10.01,0.84,3.49,101043.51,1.13,0.00
1992-02-11,"(34.0544, -118.2439)",era5,229.44,-8.00,12.79,10.99,0.89,2.61,101568.25,1.84,0.00
1992-02-12,"(34.0544, -118.2439)",era5,229.44,-8.00,13.07,10.83,0.86,4.05,101385.97,2.06,0.00
1992-02-13,"(34.0544, -118.2439)",era5,229.44,-8.00,12.59,10.35,0.87,2.22,100983.21,0.66,0.00
1992-02-14,"(34.0544, -118.2439)",era5,229.44,-8.00,11.63,7.91,0.78,1.97,101544.36,0.06,0.00
1992-02-15,"(34.0544, -118.2439)",era5,229.44,-8.00,11.30,8.63,0.84,2.81,101326.03,1.09,0.00
1992-02-16,"(34.0544, -118.2439)",era5,229.44,-8.00,10.61,6.14,0.74,2.09,101641.63,0.03,0.00
1992-02-17,"(34.0544, -118.2439)",era5,229.44,-8.00,12.41,8.42,0.78,1.41,102054.91,0.01,0.00
1992-02-18,"(34.0544, -118.2439)",era5,229.44,-8.00,12.41,8.87,0.80,1.40,101989.87,0.00,0.00
1992-02-19,"(34.0544, -118.2439)",era5,229.44,-8.00,13.05,9.58,0.81,1.45,102073.67,0.00,0.00
1992-02-20,"(34.0544, -118.2439)",era5,229.44,-8.00,14.74,12.41,0.86,1.18,101979.64,0.01,0.00
1992-02-21,"(34.0544, -118.2439)",era5,229.44,-8.00,16.00,13.27,0.85,0.98,101955.13,0.03,0.00
1992-02-22,"(34.0544, -118.2439)",era5,229.44,-8.00,16.51,12.14,0.77,1.23,101863.45,0.00,0.00
1992-02-23,"(34.0544, -118.2439)",era5,229.44,-8.00,17.21,7.40,0.58,2.97,101660.59,0.00,0.00
1992-02-24,"(34.0544, -118.2439)",era5,229.44,-8.00,16.05,3.93,0.50,2.33,101880.52,0.00,0.00
1992-02-25,"(34.0544, -118.2439)",era5,229.44,-8.00,16.85,5.92,0.52,1.86,101885.07,0.00,0.00
1992-02-26,"(34.0544, -118.2439)",era5,229.44,-8.00,18.03,7.37,0.53,2.06,101954.70,0.00,0.00
1992-02-27,"(34.0544, -118.2439)",era5,229.44,-8.00,17.28,5.25,0.49,1.88,102044.04,0.00,0.00
1992-02-28,"(34.0544, -118.2439)",era5,229.44,-8.00,17.05,6.88,0.56,1.90,101978.30,0.00,0.00
1992-02-29,"(34.0544, -118.2439)",era5,229.44,-8.00,16.73,7.54,0.57,1.75,101552.27,0.00,0.00
1992-03-01,"(34.0544, -118.2439)",era5,229.44,-8.00,15.44,8.92,0.67,2.20,101058.36,0.00,0.00
1992-03-02,"(34.0544, -118.2439)",era5,229.44,-8.00,13.78,10.18,0.79,4.06,100663.35,0.98,0.00
1992-03-03,"(34.0544, -118.2439)",era5,229.44,-8.00,13.14,10.94,0.87,3.06,101053.81,0.50,0.00
1992-03-04,"(34.0544, -118.2439)",era5,229.44,-8.00,14.33,10.91,0.81,1.48,101464.31,0.04,0.00
1992-03-05,"(34.0544, -118.2439)",era5,229.44,-8.00,14.05,10.23,0.79,1.60,101627.60,0.03,0.00
1992-03-06,"(34.0544, -118.2439)",era5,229.44,-8.00,13.36,9.91,0.80,2.22,101422.72,0.71,0.00
1992-03-07,"(34.0544, -118.2439)",era5,229.44,-8.00,12.20,8.39,0.78,1.46,101015.07,0.15,0.00
1992-03-08,"(34.0544, -118.2439)",era5,229.44,-8.00,11.72,7.78,0.77,1.79,101014.49,0.09,0.00
1992-03-09,"(34.0544, -118.2439)",era5,229.44,-8.00,12.74,8.97,0.78,1.67,101486.93,0.04,0.00
1992-03-10,"(34.0544, -118.2439)",era5,229.44,-8.00,13.39,9.57,0.79,1.27,101903.98,0.00,0.00
1992-03-11,"(34.0544, -118.2439)",era5,229.44,-8.00,15.08,10.45,0.75,1.60,101554.93,0.00,0.00
1992-03-12,"(34.0544, -118.2439)",era5,229.44,-8.00,15.13,10.64,0.76,1.36,101469.30,0.00,0.00
1992-03-13,"(34.0544, -118.2439)",era5,229.44,-8.00,15.70,12.61,0.83,1.08,101698.14,0.00,0.00
1992-03-14,"(34.0544, -118.2439)",era5,229.44,-8.00,13.94,10.50,0.81,1.25,101746.34,0.00,0.00
1992-03-15,"(34.0544, -118.2439)",era5,229.44,-8.00,13.15,8.69,0.76,1.66,101652.68,0.01,0.00
1992-03-16,"(34.0544, -118.2439)",era5,229.44,-8.00,12.98,8.29,0.74,1.86,101474.91,0.01,0.00
1992-03-17,"(34.0544, -118.2439)",era5,229.44,-8.00,13.81,8.72,0.73,1.53,101386.67,0.00,0.00
1992-03-18,"(34.0544, -118.2439)",era5,229.44,-8.00,13.37,9.52,0.78,2.18,101569.60,0.01,0.00
1992-03-19,"(34.0544, -118.2439)",era5,229.44,-8.00,13.29,9.33,0.78,1.77,101708.97,0.00,0.00
1992-03-20,"(34.0544, -118.2439)",era5,229.44,-8.00,13.43,10.41,0.82,2.70,101424.17,0.58,0.00
1992-03-21,"(34.0544, -118.2439)",era5,229.44,-8.00,13.26,11.64,0.90,2.89,101018.74,1.14,0.00
1992-03-22,"(34.0544, -118.2439)",era5,229.44,-8.00,12.80,9.89,0.83,2.50,101430.83,0.34,0.00
1992-03-23,"(34.0544, -118.2439)",era5,229.44,-8.00,12.95,10.75,0.87,2.25,101502.95,1.25,0.00
1992-03-24,"(34.0544, -118.2439)",era5,229.44,-8.00,13.44,9.21,0.77,1.16,101883.68,0.00,0.00
1992-03-25,"(34.0544, -118.2439)",era5,229.44,-8.00,14.20,10.98,0.82,1.19,101567.28,0.02,0.00
1992-03-26,"(34.0544, -118.2439)",era5,229.44,-8.00,14.96,10.77,0.77,1.64,101087.37,0.05,0.00
1992-03-27,"(34.0544, -118.2439)",era5,229.44,-8.00,15.07,12.13,0.83,0.97,100713.85,0.50,0.00
1992-03-28,"(34.0544, -118.2439)",era5,229.44,-8.00,14.84,11.86,0.83,1.54,101212.04,0.09,0.00
1992-03-29,"(34.0544, -118.2439)",era5,229.44,-8.00,14.62,10.80,0.78,1.57,101757.52,0.01,0.00
1992-03-30,"(34.0544, -118.2439)",era5,229.44,-8.00,14.59,10.59,0.78,1.48,101741.82,0.04,0.00
1992-03-31,"(34.0544, -118.2439)",era5,229.44,-8.00,13.80,9.62,0.77,1.57,101388.83,0.17,0.00
1992-04-01,"(34.0544, -118.2439)",era5,229.44,-8.00,14.35,10.84,0.81,1.26,101169.16,0.15,0.00
1992-04-02,"(34.0544, -118.2439)",era5,229.44,-8.00,15.46,10.68,0.74,1.67,101214.04,0.03,0.00
1992-04-03,"(34.0544, -118.2439)",era5,229.44,-8.00,16.77,12.81,0.78,1.41,101341.34,0.00,0.00
1992-04-04,"(34.0544, -118.2439)",era5,229.44,-8.00,16.72,13.41,0.81,1.62,101268.19,0.01,0.00
1992-04-05,"(34.0544, -118.2439)",era5,229.44,-8.00,16.19,12.30,0.78,1.81,101363.63,0.02,0.00
1992-04-06,"(34.0544, -118.2439)",era5,229.44,-8.00,15.86,12.07,0.79,1.38,101716.85,0.02,0.00
1992-04-07,"(34.0544, -118.2439)",era5,229.44,-8.00,15.96,12.26,0.80,1.30,101704.70,0.00,0.00
1992-04-08,"(34.0544, -118.2439)",era5,229.44,-8.00,16.42,12.72,0.80,1.31,101510.92,0.00,0.00
1992-04-09,"(34.0544, -118.2439)",era5,229.44,-8.00,16.49,13.22,0.82,1.49,101486.19,0.00,0.00
1992-04-10,"(34.0544, -118.2439)",era5,229.44,-8.00,16.43,13.20,0.82,1.38,101446.47,0.00,0.00
1992-04-11,"(34.0544, -118.2439)",era5,229.44,-8.00,16.39,12.21,0.78,1.14,101360.58,0.00,0.00
1992-04-12,"(34.0544, -118.2439)",era5,229.44,-8.00,15.86,11.52,0.77,1.28,101375.24,0.00,0.00
1992-04-13,"(34.0544, -118.2439)",era5,229.44,-8.00,16.32,11.31,0.73,1.72,101441.20,0.00,0.00
1992-04-14,"(34.0544, -118.2439)",era5,229.44,-8.00,16.49,11.90,0.75,1.83,101506.33,0.00,0.00
1992-04-15,"(34.0544, -118.2439)",era5,229.44,-8.00,16.45,12.34,0.78,1.76,101476.96,0.00,0.00
1992-04-16,"(34.0544, -118.2439)",era5,229.44,-8.00,17.08,12.44,0.76,1.50,101463.36,0.00,0.00
1992-04-17,"(34.0544, -118.2439)",era5,229.44,-8.00,18.24,13.31,0.75,1.40,101433.17,0.00,0.00
1992-04-18,"(34.0544, -118.2439)",era5,229.44,-8.00,20.30,12.71,0.65,1.06,100959.96,0.00,0.00
1992-04-19,"(34.0544, -118.2439)",era5,229.44,-8.00,21.08,8.78,0.52,1.80,101108.50,0.00,0.00
1992-04-20,"(34.0544, -118.2439)",era5,229.44,-8.00,19.81,8.64,0.52,1.73,101387.57,0.00,0.00
1992-04-21,"(34.0544, -118.2439)",era5,229.44,-8.00,19.42,10.73,0.60,1.73,101027.17,0.00,0.00
1992-04-22,"(34.0544, -118.2439)",era5,229.44,-8.00,18.81,10.76,0.63,1.67,101115.75,0.00,0.00
1992-04-23,"(34.0544, -118.2439)",era5,229.44,-8.00,19.25,7.47,0.49,1.46,101382.95,0.00,0.00
1992-04-24,"(34.0544, -118.2439)",era5,229.44,-8.00,21.04,9.60,0.52,1.54,101391.78,0.00,0.00
1992-04-25,"(34.0544, -118.2439)",era5,229.44,-8.00,22.71,11.38,0.54,1.38,101223.43,0.00,0.00
1992-04-26,"(34.0544, -118.2439)",era5,229.44,-8.00,23.16,10.37,0.49,1.64,101233.46,0.00,0.00
1992-04-27,"(34.0544, -118.2439)",era5,229.44,-8.00,22.71,9.68,0.48,1.55,101531.66,0.00,0.00
1992-04-28,"(34.0544, -118.2439)",era5,229.44,-8.00,21.97,10.74,0.52,1.52,101558.60,0.00,0.00
1992-04-29,"(34.0544, -118.2439)",era5,229.44,-8.00,21.12,12.97,0.63,1.53,101425.03,0.00,0.00
1992-04-30,"(34.0544, -118.2439)",era5,229.44,-8.00,19.73,12.27,0.65,2.01,101271.09,0.00,0.00
1992-05-01,"(34.0544, -118.2439)",era5,229.44,-8.00,18.92,11.40,0.65,1.79,101244.46,0.00,0.00
1992-05-02,"(34.0544, -118.2439)",era5,229.44,-8.00,20.21,12.57,0.64,1.57,101405.24,0.00,0.00
1992-05-03,"(34.0544, -118.2439)",era5,229.44,-8.00,19.60,13.42,0.70,1.57,101619.66,0.00,0.00
1992-05-04,"(34.0544, -118.2439)",era5,229.44,-8.00,19.41,12.57,0.66,1.44,101335.62,0.00,0.00
1992-05-05,"(34.0544, -118.2439)",era5,229.44,-8.00,19.21,13.86,0.72,1.41,101007.97,0.01,0.00
1992-05-06,"(34.0544, -118.2439)",era5,229.44,-8.00,18.67,14.68,0.79,1.69,101290.01,0.06,0.00
1992-05-07,"(34.0544, -118.2439)",era5,229.44,-8.00,19.13,14.97,0.78,1.89,101706.26,0.03,0.00
1992-05-08,"(34.0544, -118.2439)",era5,229.44,-8.00,20.09,15.90,0.78,1.75,101347.19,0.00,0.00
1992-05-09,"(34.0544, -118.2439)",era5,229.44,-8.00,19.13,15.07,0.78,2.07,100723.74,0.00,0.00
1992-05-10,"(34.0544, -118.2439)",era5,229.44,-8.00,18.99,14.16,0.75,2.00,100973.22,0.00,0.00
1992-05-11,"(34.0544, -118.2439)",era5,229.44,-8.00,18.93,14.36,0.75,1.85,101563.92,0.02,0.00
1992-05-12,"(34.0544, -118.2439)",era5,229.44,-8.00,19.49,13.90,0.72,1.68,101583.53,0.00,0.00
1992-05-13,"(34.0544, -118.2439)",era5,229.44,-8.00,19.47,13.35,0.70,1.63,101430.39,0.00,0.00
1992-05-14,"(34.0544, -118.2439)",era5,229.44,-8.00,18.40,12.59,0.71,1.90,101305.29,0.00,0.00
1992-05-15,"(34.0544, -118.2439)",era5,229.44,-8.00,18.33,12.75,0.72,1.89,101226.63,0.00,0.00
1992-05-16,"(34.0544, -118.2439)",era5,229.44,-8.00,18.66,12.96,0.71,1.74,101096.46,0.00,0.00
1992-05-17,"(34.0544, -118.2439)",era5,229.44,-8.00,19.52,13.31,0.70,1.67,101250.19,0.00,0.00
1992-05-18,"(34.0544, -118.2439)",era5,229.44,-8.00,19.71,13.64,0.70,1.45,101484.98,0.00,0.00
1992-05-19,"(34.0544, -118.2439)",era5,229.44,-8.00,19.62,13.73,0.71,2.08,101208.81,0.00,0.00
1992-05-20,"(34.0544, -118.2439)",era5,229.44,-8.00,19.14,13.06,0.70,2.14,101027.81,0.02,0.00
1992-05-21,"(34.0544, -118.2439)",era5,229.44,-8.00,18.94,13.31,0.71,2.22,100983.48,0.00,0.00
1992-05-22,"(34.0544, -118.2439)",era5,229.44,-8.00,19.37,13.23,0.69,1.88,101285.97,0.00,0.00
1992-05-23,"(34.0544, -118.2439)",era5,229.44,-8.00,19.70,14.12,0.72,1.59,101439.50,0.00,0.00
1992-05-24,"(34.0544, -118.2439)",era5,229.44,-8.00,19.80,14.00,0.71,1.82,101446.84,0.00,0.00
1992-05-25,"(34.0544, -118.2439)",era5,229.44,-8.00,19.48,13.91,0.72,1.72,101302.55,0.00,0.00
1992-05-26,"(34.0544, -118.2439)",era5,229.44,-8.00,19.57,14.22,0.73,1.89,101156.67,0.00,0.00
1992-05-27,"(34.0544, -118.2439)",era5,229.44,-8.00,19.19,13.92,0.73,1.95,101130.62,0.00,0.00
1992-05-28,"(34.0544, -118.2439)",era5,229.44,-8.00,18.90,13.53,0.72,1.99,101072.71,0.00,0.00
1992-05-29,"(34.0544, -118.2439)",era5,229.44,-8.00,19.21,14.00,0.73,1.72,101078.87,0.00,0.00
1992-05-30,"(34.0544, -118.2439)",era5,229.44,-8.00,19.97,13.76,0.70,1.61,101063.88,0.00,0.00
1992-05-31,"(34.0544, -118.2439)",era5,229.44,-8.00,21.58,14.22,0.66,1.71,101318.73,0.00,0.00
1992-06-01,"(34.0544, -118.2439)",era5,229.44,-8.00,21.05,14.57,0.69,1.80,101255.14,0.00,0.00
1992-06-02,"(34.0544, -118.2439)",era5,229.44,-8.00,20.65,14.60,0.70,1.91,101080.50,0.00,0.00
1992-06-03,"(34.0544, -118.2439)",era5,229.44,-8.00,20.83,14.75,0.70,1.83,101058.52,0.00,0.00
1992-06-04,"(34.0544, -118.2439)",era5,229.44,-8.00,20.77,14.77,0.70,1.90,101022.12,0.00,0.00
1992-06-05,"(34.0544, -118.2439)",era5,229.44,-8.00,18.90,13.84,0.73,2.13,100938.01,0.01,0.00
1992-06-06,"(34.0544, -118.2439)",era5,229.44,-8.00,17.62,11.96,0.70,2.28,100869.03,0.01,0.00
1992-06-07,"(34.0544, -118.2439)",era5,229.44,-8.00,18.55,11.92,0.67,1.78,101037.22,0.00,0.00
1992-06-08,"(34.0544, -118.2439)",era5,229.44,-8.00,19.47,13.34,0.70,1.80,101201.89,0.00,0.00
1992-06-09,"(34.0544, -118.2439)",era5,229.44,-8.00,20.22,14.02,0.70,1.83,101150.12,0.00,0.00
1992-06-10,"(34.0544, -118.2439)",era5,229.44,-8.00,19.37,14.52,0.75,2.04,101191.57,0.01,0.00
1992-06-11,"(34.0544, -118.2439)",era5,229.44,-8.00,18.81,13.41,0.72,1.96,101391.90,0.00,0.00
1992-06-12,"(34.0544, -118.2439)",era5,229.44,-8.00,19.55,12.40,0.66,1.86,101527.99,0.00,0.00
1992-06-13,"(34.0544, -118.2439)",era5,229.44,-8.00,19.99,8.52,0.50,1.98,101320.61,0.00,0.00
1992-06-14,"(34.0544, -118.2439)",era5,229.44,-8.00,19.34,9.65,0.56,2.22,100989.20,0.00,0.00
1992-06-15,"(34.0544, -118.2439)",era5,229.44,-8.00,18.61,10.34,0.60,2.40,101123.36,0.00,0.00
1992-06-16,"(34.0544, -118.2439)",era5,229.44,-8.00,18.97,9.93,0.59,1.86,101259.43,0.00,0.00
1992-06-17,"(34.0544, -118.2439)",era5,229.44,-8.00,20.94,11.50,0.57,1.89,101176.62,0.00,0.00
1992-06-18,"(34.0544, -118.2439)",era5,229.44,-8.00,20.05,11.99,0.62,1.91,101208.46,0.00,0.00
1992-06-19,"(34.0544, -118.2439)",era5,229.44,-8.00,19.79,11.29,0.60,1.78,101128.46,0.00,0.00
1992-06-20,"(34.0544, -118.2439)",era5,229.44,-8.00,20.00,12.12,0.63,1.86,100963.06,0.00,0.00
1992-06-21,"(34.0544, -118.2439)",era5,229.44,-8.00,20.38,12.92,0.65,1.60,101000.35,0.00,0.00
1992-06-22,"(34.0544, -118.2439)",era5,229.44,-8.00,21.78,13.17,0.62,1.40,101216.15,0.00,0.00
1992-06-23,"(34.0544, -118.2439)",era5,229.44,-8.00,24.58,13.20,0.52,1.50,101150.49,0.00,0.00
1992-06-24,"(34.0544, -118.2439)",era5,229.44,-8.00,24.50,12.38,0.49,1.78,100949.14,0.00,0.00
1992-06-25,"(34.0544, -118.2439)",era5,229.44,-8.00,22.85,11.36,0.50,1.92,101058.08,0.00,0.00
1992-06-26,"(34.0544, -118.2439)",era5,229.44,-8.00,21.49,13.47,0.63,1.89,101182.07,0.00,0.00
1992-06-27,"(34.0544, -118.2439)",era5,229.44,-8.00,22.17,14.66,0.65,1.85,101142.15,0.00,0.00
1992-06-28,"(34.0544, -118.2439)",era5,229.44,-8.00,23.24,14.57,0.61,1.86,101114.98,0.00,0.00
1992-06-29,"(34.0544, -118.2439)",era5,229.44,-8.00,22.56,12.54,0.56,2.33,101102.73,0.00,0.00
1992-06-30,"(34.0544, -118.2439)",era5,229.44,-8.00,20.97,13.14,0.63,2.56,101117.46,0.00,0.00
1992-07-01,"(34.0544, -118.2439)",era5,229.44,-8.00,19.80,11.52,0.61,2.56,101150.24,0.00,0.00
1992-07-02,"(34.0544, -118.2439)",era5,229.44,-8.00,20.20,12.27,0.63,1.96,101130.13,0.00,0.00
1992-07-03,"(34.0544, -118.2439)",era5,229.44,-8.00,21.03,13.80,0.65,1.99,100995.37,0.00,0.00
1992-07-04,"(34.0544, -118.2439)",era5,229.44,-8.00,20.82,13.57,0.66,1.82,101136.16,0.00,0.00
1992-07-05,"(34.0544, -118.2439)",era5,229.44,-8.00,23.54,11.98,0.52,1.44,101043.00,0.00,0.00
1992-07-06,"(34.0544, -118.2439)",era5,229.44,-8.00,25.92,11.06,0.41,1.70,100991.50,0.00,0.00
1992-07-07,"(34.0544, -118.2439)",era5,229.44,-8.00,24.28,14.37,0.55,1.79,101364.04,0.03,0.00
1992-07-08,"(34.0544, -118.2439)",era5,229.44,-8.00,25.21,17.33,0.63,1.43,101546.59,0.15,0.00
1992-07-09,"(34.0544, -118.2439)",era5,229.44,-8.00,26.67,19.28,0.65,1.56,101577.29,0.02,0.00
1992-07-10,"(34.0544, -118.2439)",era5,229.44,-8.00,24.69,19.64,0.75,2.06,101460.85,0.01,0.00
1992-07-11,"(34.0544, -118.2439)",era5,229.44,-8.00,22.91,18.47,0.77,2.42,101232.51,0.07,0.00
1992-07-12,"(34.0544, -118.2439)",era5,229.44,-8.00,22.04,19.16,0.84,1.99,101221.02,0.24,0.00
1992-07-13,"(34.0544, -118.2439)",era5,229.44,-8.00,22.95,19.23,0.80,1.68,101352.79,0.07,0.00
1992-07-14,"(34.0544, -118.2439)",era5,229.44,-8.00,23.57,18.80,0.76,1.43,101418.70,0.00,0.00
1992-07-15,"(34.0544, -118.2439)",era5,229.44,-8.00,23.73,17.60,0.71,1.54,101269.98,0.00,0.00
1992-07-16,"(34.0544, -118.2439)",era5,229.44,-8.00,24.83,17.92,0.68,1.62,101045.22,0.00,0.00
1992-07-17,"(34.0544, -118.2439)",era5,229.44,-8.00,25.46,17.42,0.63,1.62,101158.74,0.00,0.00
1992-07-18,"(34.0544, -118.2439)",era5,229.44,-8.00,26.90,17.57,0.60,1.67,101324.87,0.00,0.00
1992-07-19,"(34.0544, -118.2439)",era5,229.44,-8.00,28.18,16.35,0.52,2.02,101271.13,0.00,0.00
1992-07-20,"(34.0544, -118.2439)",era5,229.44,-8.00,27.34,15.96,0.52,1.85,100988.36,0.00,0.00
1992-07-21,"(34.0544, -118.2439)",era5,229.44,-8.00,23.90,15.11,0.60,2.25,101012.16,0.00,0.00
1992-07-22,"(34.0544, -118.2439)",era5,229.44,-8.00,22.17,15.72,0.68,2.18,101144.09,0.00,0.00
1992-07-23,"(34.0544, -118.2439)",era5,229.44,-8.00,21.95,15.78,0.70,2.09,101118.54,0.00,0.00
1992-07-24,"(34.0544, -118.2439)",era5,229.44,-8.00,21.23,15.03,0.69,2.10,101254.02,0.00,0.00
1992-07-25,"(34.0544, -118.2439)",era5,229.44,-8.00,21.61,15.52,0.70,1.84,101563.72,0.00,0.00
1992-07-26,"(34.0544, -118.2439)",era5,229.44,-8.00,22.46,16.29,0.70,1.71,101635.12,0.00,0.00
1992-07-27,"(34.0544, -118.2439)",era5,229.44,-8.00,23.07,15.85,0.67,1.69,101515.90,0.00,0.00
1992-07-28,"(34.0544, -118.2439)",era5,229.44,-8.00,23.85,15.39,0.62,1.72,101421.91,0.00,0.00
1992-07-29,"(34.0544, -118.2439)",era5,229.44,-8.00,23.23,14.67,0.61,1.67,101292.08,0.00,0.00
1992-07-30,"(34.0544, -118.2439)",era5,229.44,-8.00,23.10,15.96,0.66,1.54,101199.54,0.00,0.00
1992-07-31,"(34.0544, -118.2439)",era5,229.44,-8.00,23.78,16.31,0.66,1.54,101309.35,0.00,0.00
1992-08-01,"(34.0544, -118.2439)",era5,229.44,-8.00,25.01,15.90,0.60,1.61,101441.39,0.00,0.00
1992-08-02,"(34.0544, -118.2439)",era5,229.44,-8.00,26.06,16.06,0.56,1.54,101417.52,0.00,0.00
1992-08-03,"(34.0544, -118.2439)",era5,229.44,-8.00,25.92,16.42,0.57,1.75,101230.31,0.00,0.00
1992-08-04,"(34.0544, -118.2439)",era5,229.44,-8.00,24.29,15.68,0.60,1.83,101287.41,0.00,0.00
1992-08-05,"(34.0544, -118.2439)",era5,229.44,-8.00,24.01,15.94,0.63,1.71,101346.93,0.00,0.00
1992-08-06,"(34.0544, -118.2439)",era5,229.44,-8.00,23.50,16.22,0.66,1.72,101367.80,0.00,0.00
